date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:29	128/128	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Jul%202016%2013:21:27%20GMT	http://cclab.tothong.com/robots.txt		(from )
09:21:30	21898/21898	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202016%2013:21:30%20GMT	http://cclab.tothong.com/	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/index.html	(from )
09:21:33	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2009%20Jul%202016%2013:21:31%20GMT	http://cclab.tothong.com/xmlrpc.php	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/xmlrpc.php	(from http://cclab.tothong.com/)
09:21:34	41095/41095	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20Dec%202012%2006:49:33%20GMT	http://cclab.tothong.com/wp-content/themes/brunelleschi/style.css?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/wp-content/themes/brunelleschi/stylec1f9.css	(from http://cclab.tothong.com/)
09:21:34	57204/57204	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Mar%202016%2002:15:27%20GMT	http://cclab.tothong.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.9.4	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/wp-content/plugins/jetpack/css/jetpackf3c8.css	(from http://cclab.tothong.com/)
09:21:35	15373/15373	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2027%20Dec%202012%2006:49:33%20GMT	http://cclab.tothong.com/wp-content/themes/brunelleschi/js/modernizr-2.5.2.min.js?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/wp-content/themes/brunelleschi/js/modernizr-2.5.2.minc1f9.js	(from http://cclab.tothong.com/)
09:21:35	4017/4017	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2027%20Dec%202012%2006:49:33%20GMT	http://cclab.tothong.com/wp-content/themes/brunelleschi/js/respond.js?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/wp-content/themes/brunelleschi/js/respondc1f9.js	(from http://cclab.tothong.com/)
09:21:36	7200/7200	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Feb%202014%2015:43:13%20GMT	http://cclab.tothong.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://cclab.tothong.com/)
09:21:37	3291/3291	---M-Z	403	error ('Forbidden')	text/html	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://cclab.tothong.com/comments/feed/	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/comments/feed/index.html	(from http://cclab.tothong.com/)
09:21:37	12631/12631	---MC-	200	added ('OK')	application/rss+xml	etag:%223ef1178d1e35ae522825fa1bb73074df%22	http://cclab.tothong.com/feed/	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/feed/index.html	(from http://cclab.tothong.com/)
09:21:37	84/84	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2027%20Dec%202012%2006:49:33%20GMT	http://cclab.tothong.com/wp-content/themes/brunelleschi/js/brunelleschi-scripts.js?ver=4.4.2	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/wp-content/themes/brunelleschi/js/brunelleschi-scriptsc1f9.js	(from http://cclab.tothong.com/)
09:21:37	95977/95977	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2023%20Aug%202015%2005:49:03%20GMT	http://cclab.tothong.com/wp-includes/js/jquery/jquery.js?ver=1.11.3	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/wp-includes/js/jquery/jqueryc1d8.js	(from http://cclab.tothong.com/)
09:21:38	1045/1045	---MCZ	200	added ('OK')	text/xml	date:Wed,%2019%20Feb%202014%2015:43:12%20GMT	http://cclab.tothong.com/wp-includes/wlwmanifest.xml	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/wp-includes/wlwmanifest.xml	(from http://cclab.tothong.com/)
09:21:39	727/727	---M--	200	added ('OK')	application/x-shockwave-flash	date:Tue,%2015%20Jul%202014%2019:25:20%20GMT	http://cclab.tothong.com/wp-content/plugins/vipers-video-quicktags/resources/expressinstall.swf	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/wp-content/plugins/vipers-video-quicktags/resources/expressinstall.swf	(from http://cclab.tothong.com/)
09:21:40	1017/1017	---MC-	200	added ('OK')	application/json	date:Sat,%2009%20Jul%202016%2013:21:38%20GMT	http://cclab.tothong.com/wp-json/	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/wp-json/index.html	(from http://cclab.tothong.com/)
09:21:40	836/836	---MCZ	200	added ('OK')	text/xml	date:Sat,%2009%20Jul%202016%2013:21:38%20GMT	http://cclab.tothong.com/xmlrpc.php?rsd	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/xmlrpc0db0.php	(from http://cclab.tothong.com/)
09:21:42	48380/48380	---M--	200	added ('OK')	image/jpeg	date:Sun,%2011%20Sep%202011%2006:06:48%20GMT	http://cclab.tothong.com/wp-content/uploads/2011/09/Copper_Red.jpg	//Mac/Home/Downloads/My%20Web%20Sites/cclab/cclab.tothong.com/wp-content/uploads/2011/09/Copper_Red.jpg	(from http://cclab.tothong.com/)
